tombstone_code,place,tombstone_id,latitude,longitude,last_name,name,fathers_name,gender,year,tags,epitaph_language,decor_type,tombstone_type,tombstone_material_code,source_ru,source_en
BSH0079,Бешенковичи,79,55.0460267836032,29.4830562680673,,Шмарьяху,Йехезкель,m,1919,,HE,O,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0079,Бешенковичи,79,55.0460267836032,29.4830562680673,,Сара,Хешиль,f,1918,,HE,O,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0080,Бешенковичи,80,55.0458101065941,29.4834321538644,,Либа Гута,Йехиэль Михл,f,1926,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0081,Бешенковичи,81,55.0458042269805,29.4834493003849,,Йерухам Залман,Яаков Лейб,m,1927,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0082,Бешенковичи,82,55.0456863703954,29.4835958203182,,Михля,Барух,f,1921,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0083,Бешенковичи,83,55.0456752266612,29.4836182197365,,Неизвестный,,n,,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0084,Бешенковичи,84,55.0456662501455,29.4836234882062,,Хая,Йешаяху,f,1921,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0085,Бешенковичи,85,55.0456534242498,29.4836364260314,,Сара Хана,Ицхак,f,1921,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0086,Бешенковичи,86,55.0456407915318,29.4836804637511,,Моше,Яаков,m,1890,,HE,O,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0087,Бешенковичи,87,55.0455801539738,29.4838141562661,Шмоткин,Авраам Шломо,Ханан,m,1922,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0088,Бешенковичи,88,55.0455731720417,29.4838345229148,,Товия,Меир,m,1921,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0089,Бешенковичи,89,55.0455599023606,29.4838558578221,Авербух,Ицхак,Шмуэль Фейвель,m,1921,аврех,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0090,Бешенковичи,90,55.0455156170184,29.4839183571568,Нейман,Зелиг,Йосеф,m,1925,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0091,Бешенковичи,91,55.0454950347224,29.4839497822462,,Аарон Йосеф,Зеев,m,1920,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0092,Бешенковичи,92,55.0454875065605,29.4839637467984,,Хаим Шломо,Элимелех,m,1933,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0093,Бешенковичи,93,55.0454790501847,29.4839777764993,,Менахем Мендель,Авраам Цви,m,1936,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0094,Бешенковичи,94,55.0454722076137,29.483991129030105,,Яаков Лейб,Йосеф Дан,m,1937,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0095,Бешенковичи,95,55.0454688518058,29.4840104686599,Зельцер,Шейна,Файвиш,f,1937,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0096,Бешенковичи,96,55.0454618406831,29.4840247595125,Перлина,Гуте,Моше,f,1938,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0097,Бешенковичи,97,55.0454548177894,29.4840475827037,,Исраэль,Шмуэль,m,1923,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0098,Бешенковичи,98,55.0454466819891,29.4840562146393,Cвердлова,Рахель Неле,Элиэзер,f,1936,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0099,Бешенковичи,99,55.0460234313076,29.4829325326055,Гольбрайх,Эстер,Давид Лейб,f,1914,,HE,O,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0100,Бешенковичи,100,55.0460147205308,29.482950567123,Шмоткин,Элиэзер,Шнеур Залман Цви,m,1914,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0101,Бешенковичи,101,55.0459972828113,29.4830032750188,,Яаков Дов,Йехуда Лейб,m,1910,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0102,Бешенковичи,102,55.0459699886327,29.4830465814509,,Цви_Гирш,Моше Аарон,m,1910,аврех,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0103,Бешенковичи,103,55.0460421408126,29.4830364921954,,Беньямин,Йехуда Лейб,m,1908,пожилой,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0104,Бешенковичи,104,55.0460387307568,29.4830290823069,,Залман Дов,Пинхас,m,1908,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0105,Бешенковичи,105,55.04603541365261,29.48302753254,,Рейхель,Меир Йосеф,f,1908,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0106,Бешенковичи,106,55.0460297405561,29.4830507038,,Рахель Лея,Залман Зелиг,f,1909,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0106a,Бешенковичи,106a,55.0460297405561,29.4830507038,,Неизвестный,,n,,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0107,Бешенковичи,107,55.0460180446329,29.4830597573622,,Сара Рада,Яаков Йосеф,f,1909,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0108,Бешенковичи,108,55.0460047753625,29.4830587900154,,Сима Шейна,Симха Шломо,f,1909,левит,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0109,Бешенковичи,109,55.0460000014432,29.4830655764554,,Мордехай Лейб,Элиэзер,m,1915,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0110,Бешенковичи,110,55.0459962827904,29.483071826746,,Мирьям,Шмуэль,f,1908,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0111,Бешенковичи,111,55.0459636986694,29.483145835191,,Фейге Мине,Залман Аарон,f,1908,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0112,Бешенковичи,112,55.0459453989224,29.4831651410404,,Рахель,Залман Манис,f,1907,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0113,Бешенковичи,113,55.0459374040108,29.4831858831066,,Элька,Айзик Йосеф,f,1906,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0114,Бешенковичи,114,55.0459318175108,29.4832012818291,,Давид Лейб,Бенцион,m,1906,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0115,Бешенковичи,115,55.0459224560599,29.4832046007322,,Авраам Гилель,Ицхак,m,1905,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0116,Бешенковичи,116,55.0459082705625,29.4832436220579,,Цви,Аарон,m,1904,,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0117,Бешенковичи,117,55.0459009159719,29.4832646113768,,Моше,Шмуэль,m,1904,,HE,"F, O",M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0118,Бешенковичи,118,55.0458958991154,29.4832794396675,,Йосеф Дов-Бер,Аарон,m,1902,"коэн, пожилой",HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0119,Бешенковичи,119,,,,Шломо Залман,Йосеф Аарон,m,1903,пожилой,HE,,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0120,Бешенковичи,120,,,,Рози Фрaда,Шалом Дов-Бер,f,1900,"раввин, внук, адмор, благородный",HE,"O, S",M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
BSH0121,Бешенковичи,121,,,,Элиэзер Липман,Шмарьяху,m,1900,пожилой,HE,S,M,S,"Архив полевых исследований Центра ""Сэфер""",Sefer Field Research Archive
